Xperp 사용자 매뉴얼 요약
XpERP란?
건물관리 S/W의 새 지평을 열게 될 XpERP는 인터넷을 통해 빌딩, 주상복합, 아파트형 공장 및 쇼핑몰 등의 건물관리 업무를 처리할 수 있도록 하는 ASP기반의 ERP제품으로 관리업무 경감, 철저한 보안관리, 신속한 A/S는 물론, 업무와 관련되는 외부(유관)기관과의 연계를 통해, 고객 여러분이 보다 쉽고, 편리하게 전산관련 업무를 진행할 수 있도록 만든 첨단 Web 프로그램 입니다.

Q0001 :	. 전자투표 시 2개의 안건에 대해 모두 투표해야 완료되나요?
A0001 :	". 네, 전자투표에서 2개의 안건이 있는 경우, 두 안건 모두에 대해 선택(찬성 또는 반대)을 해야 투표가 완료됩니다."
T0001 :	. #전자투표 #의무투표 #안건

Q0002 :	. 전자투표 완료를 위해 2개의 안건 중 1개만 투표해도 되나요?
A0002 :	". 아니요, 2개의 안건 중 1개만 투표하는 경우 전자투표가 완료되지 않습니다."
T0002 :	. #전자투표 #미완료 #부분투표

Q0003 :	. 2개의 안건에 대한 전자투표 결과는 어떻게 확인할 수 있나요?
A0003 :	. 2개의 안건에 대한 전자투표 결과는 각각 따로 확인할 수 있습니다.
T0003 :	. #전자투표 #결과확인 #개별확인

Q0004 :	. 가수금 중간 정산 후 전표가 생성되지 않는 이유는 무엇인가요?
A0004 :	. 가수금 중간 정산 후 전표가 생성되지 않는 것은 '수납 전표 연계' 처리가 누락되었기 때문입니다. 수납 처리 후 전표 연계를 진행하면 해결됩니다.
T0004 :	. #가수금 #전표생성 #수납전표연계

Q0005 :	. 전자투표 접속 시 단지가 다르게 나오는 원인과 해결 방안은 무엇인가요?
A0005 :	". 고객은 A아파트에서 전자 투표를 하려고 하는데, 앱 메인 화면에 B아파트로 표시되어 전자 투표 진행이 어려운 상황입니다. 이는 처음 로그인할 때 B아파트로 로그인하여 단지 변경 없이 사용했기 때문에 발생한 문제입니다. 해결 방법은 다음과 같습니다. 전자 투표 목록 들어가서 상단에 있는 단지 코드 옆 쌍방향 화살표를 누르고, 변경할  단지 코드 입력  단지 코드 입력 시 숫자 다섯 자리(예 28419)를 넣어"	A아파트로	변경	하면	됩	니다.
T0005 :	. #전자투표 #단지변경 #아파트정보오류 #모바일앱 #문제해결

Q0006 :	. 전자투표 세금계산서가 통합 발행되는 원인과 해결 방안은 무엇인가요?
A0006 :	. 전자투표 발행은 통합으로 세금계산서가 발행이 되며 개별로 끊기를 원하신다면 전자투표 문의 게시판에 해당 내용을 남겨주세요.
T0006 :	. #세금계산서 #전자투표 #발행오류 #문의게시판

Q0007 :	. 아파트 관리비 부과 방식 중 세대 단가 방법을  면적별로 변경하는 방법은 무엇인가요?
A0007 :	. 부과→ 기초정보 → 부과항목 등록메뉴에서 부과기준을 세대단가가 아닌 면적단가로 변경후 저장해 주세요. 부과항목 변경 후에  관리비 부과처리 메뉴에서 재부과 선택후에 단가처리 버튼을 눌러서 면적단가 셋팅해 주세요.
T0007 :	. #관리비 #부과방식변경 #조경비 #면적단가 #세대단가 #그룹설정 #문제해결

Q0008 :	. 아파트 관리비 자동이체 한도 초과로 인한 미납 발생 시 해결 방안은 무엇인가요?
A0008 :	. 주민이 신한카드로 관리비 자동이체를 시도했으나 한도 초과로 인해 이체가 실패하여 미납이 발생했습니다. 자동이체는 이미 정해진 날짜에 처리되므로 이번 달에는 더 이상 자동이체가 이루어지지 않습니다.해결 방안은 다음과 같습니다.입주민이 관리소에 입금 금액을 확인한후에 입금해 주시거나 또는 다음달 부과될때 두 달 치가 한꺼번에 합산 부과하여 자동이체 금액으로 빠져 나갈 수 있습니다.
T0008 :	. #관리비 #자동이체 #한도초과 #미납 #납부방법 #연체료 #납부기한
